"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
34,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Sturnira","lilium",,"body mass",17.1,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
35,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Uroderma","bilobatum",,"body mass",16.4,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
36,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Vampyrops","helleri",,"body mass",11.6,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
37,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Vespertilio","serotinus",,"body mass",23.4,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
38,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Vespertilio","murinus",,"body mass",33.3,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
39,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Scotophilus","gigas",,"body mass",101,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
40,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Miniopterus","schreibers",,"body mass",12.7,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
41,"Chordata","Mammalia","Chiroptera","Molossidae ","Tadarida","albiventer",,"body mass",11.5,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
42,"Chordata","Mammalia","Chiroptera","Molossidae ","Chaerophon","limbatus",,"body mass",13.3,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
43,"Chordata","Mammalia","Chiroptera","Molossidae ","Chaerophon","Ieucostigma",,"body mass",26.5,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
