"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
19,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.6,"mg",,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
19,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.18,"(O2) ul/h",5,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
20,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.7,"mg",,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
20,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.33,"(O2) ul/h",5,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
21,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.8,"mg",,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
21,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.31,"(O2) ul/h",5,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
22,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.9,"mg",,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
22,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.51,"(O2) ul/h",5,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
23,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.9,"mg",,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
23,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.26,"(O2) ul/h",5,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
24,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",2,"mg",,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
24,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.25,"(O2) ul/h",5,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
25,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",2,"mg",,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
25,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.14,"(O2) ul/h",5,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
26,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",2.1,"mg",,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
26,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.46,"(O2) ul/h",5,,1,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
