"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
21,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Edrotes","ventricosus","","body mass",24.35,"mg",,,2,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
21,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Edrotes","ventricosus","","metabolic rate",517,"(O2) ul/g/h",20,,2,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
22,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Cryptoglossa","verrucossa","","body mass",233.4,"mg",,,9,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
22,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Cryptoglossa","verrucossa","","metabolic rate",209,"(O2) ul/g/h",20,,9,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
23,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Centrioptera","muricata","","body mass",132.6,"mg",,,7,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
23,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Centrioptera","muricata","","metabolic rate",458,"(O2) ul/g/h",20,,7,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
24,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Triorophus","laevis","","body mass",8.46,"mg",,,2,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
24,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Triorophus","laevis","","metabolic rate",1040,"(O2) ul/g/h",20,,2,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
25,"Arthropoda","Insecta","Coleoptera","Carabidae","Calosoma","sp.","","body mass",151.23,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
25,"Arthropoda","Insecta","Coleoptera","Carabidae","Calosoma","sp.","","metabolic rate",624,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
